"row_number","status","error_message"
"1","SUCCESS",""
"2","FAILED","INVALID_MOBILE"
"3","SUCCESS",""
"4","FAILED","INVALID_EMAIL"
"5","SUCCESS",""
"6","SUCCESS",""
"7","FAILED","INVALID_MOBILE"
"8","SUCCESS",""
"9","FAILED","MISSING_DATA"
"10","SUCCESS",""
"11","FAILED","INVALID_MOBILE"
"12","SUCCESS",""
"13","FAILED","INVALID_MOBILE"
"14","SUCCESS",""
