"row_number","status","error_message"
"1","SUCCESS",""
"2","SUCCESS",""
"3","FAILED","INVALID_EMAIL"
"4","SUCCESS",""
"5","SUCCESS",""
"6","SUCCESS",""
"7","FAILED","MISSING_DATA"
"8","SUCCESS",""
"9","SUCCESS",""
"10","SUCCESS",""
